	Bevölkerungs- 	Lebend-   	Todesfälle 	Geburten-	Zuzüge und 	Wegzüge 	Wanderungs-	Bereini- 	Bevölkerungs- 	Absolute	Prozentuale
	stand am 	geburten 		überschuss	Statuswechsel 		saldo und 	gungen 	stand am 	Veränderung	Veränderung
	1. Januar  				           	           	Statuswechsel	          	31. Dezember 		
SCHWEIZ	7 785 806 	 80 290 	 62 553 	 17 737 	 606 591 	 541 652 	 64 939 	- 4 470 	7 864 012 	78206	1.0
Kanton Zürich	1 351 297 	 15 297 	 10 283 	 5 014 	 111 504 	 98 861 	 12 643 	-  132 	1 368 822 	17525	1.3
Bezirk Affoltern	 47 063 	  490 	  261 	  229 	 4 004 	 3 524 	  480 	  117 	 47 889 	826	1.8
   1 Aeugst am Albis	 1 740 	  15 	  5 	  10 	  172 	  101 	  71 	-  1 	 1 820 	80	4.6
   2 Affoltern am Albis	 10 735 	  115 	  74 	  41 	  938 	  770 	  168 	  26 	 10 970 	235	2.2
   3 Bonstetten	 5 110 	  51 	  22 	  29 	  376 	  373 	  3 	-  1 	 5 141 	31	0.6
   4 Hausen am Albis	 3 316 	  29 	  20 	  9 	  254 	  237 	  17 	  8 	 3 350 	34	1
   5 Hedingen	 3 413 	  25 	  27 	-  2 	  247 	  248 	-  1 	-  7 	 3 403 	-10	-0.3
   6 Kappel am Albis	  881 	  12 	  8 	  4 	  93 	  60 	  33 	  4 	  922 	41	4.7
   7 Knonau	 1 742 	  26 	  6 	  20 	  228 	  229 	-  1 	  40 	 1 801 	59	3.4
   8 Maschwanden	  588 	  4 	  5 	-  1 	  81 	  54 	  27 	-  4 	  610 	22	3.7
   9 Mettmenstetten	 4 150 	  37 	  21 	  16 	  356 	  326 	  30 	  36 	 4 232 	82	2
  10 Obfelden	 4 646 	  50 	  24 	  26 	  326 	  333 	-  7 	-  5 	 4 660 	14	0.3
  11 Ottenbach	 2 385 	  21 	  16 	  5 	  167 	  153 	  14 	  1 	 2 405 	20	0.8
  12 Rifferswil	  876 	  8 	  3 	  5 	  66 	  46 	  20 	-  3 	  898 	22	2.5
  13 Stallikon	 3 024 	  40 	  12 	  28 	  366 	  264 	  102 	  6 	 3 160 	136	4.5
  14 Wettswil am Albis	 4 457 	  57 	  18 	  39 	  334 	  330 	  4 	  17 	 4 517 	60	1.3
Bezirk Andelfingen	 29 247 	  268 	  210 	  58 	 1 962 	 1 861 	  101 	-  29 	 29 377 	130	0.4
  21 Adlikon	  577 	  12 	  6 	  6 	  30 	  38 	-  8 	  1 	  576 	-1	-0.2
  22 Benken (ZH)	  774 	  5 	  6 	-  1 	  58 	  37 	  21 	  2 	  796 	22	2.8
  23 Berg am Irchel	  597 	  6 	  4 	  2 	  45 	  43 	  2 	-  2 	  599 	2	0.3
  24 Buch am Irchel	  836 	  11 	  7 	  4 	  114 	  57 	  57 	-  23 	  874 	38	4.5
  25 Dachsen	 1 916 	  17 	  12 	  5 	  111 	  107 	  4 	-  3 	 1 922 	6	0.3
  26 Dorf	  634 	  3 	  4 	-  1 	  33 	  36 	-  3 	-  2 	  628 	-6	-0.9
  27 Feuerthalen	 3 450 	  41 	  25 	  16 	  232 	  244 	-  12 	-  4 	 3 450 	0	0
  28 Flaach	 1 227 	  4 	  16 	-  12 	  73 	  66 	  7 	- 	 1 222 	-5	-0.4
  29 Flurlingen	 1 407 	  5 	  16 	-  11 	  128 	  95 	  33 	-  3 	 1 426 	19	1.4
  30 Andelfingen	 1 795 	  22 	  6 	  16 	  170 	  122 	  48 	-  5 	 1 854 	59	3.3
  31 Henggart	 2 171 	  25 	  16 	  9 	  159 	  135 	  24 	  2 	 2 206 	35	1.6
  32 Humlikon	  455 	  4 	  2 	  2 	  26 	  25 	  1 	-  1 	  457 	2	0.4
  33 Kleinandelfingen	 2 073 	  30 	  9 	  21 	  110 	  139 	-  29 	  6 	 2 071 	-2	-0.1
  34 Laufen-Uhwiesen	 1 519 	  11 	  9 	  2 	  61 	  79 	-  18 	  3 	 1 506 	-13	-0.9
  35 Marthalen	 1 892 	  10 	  18 	-  8 	  170 	  122 	  48 	  3 	 1 935 	43	2.3
  36 Oberstammheim	 1 066 	  11 	  8 	  3 	  66 	  51 	  15 	- 	 1 084 	18	1.7
  37 Ossingen	 1 360 	  7 	  11 	-  4 	  76 	  88 	-  12 	-  3 	 1 341 	-19	-1.4
  38 Rheinau	 1 336 	  8 	  7 	  1 	  62 	  108 	-  46 	  2 	 1 293 	-43	-3.2
  39 Thalheim an der Thur	  806 	  5 	  5 	- 	  49 	  49 	- 	  4 	  810 	4	0.5
  40 Trüllikon	 1 000 	  9 	  8 	  1 	  73 	  82 	-  9 	-  1 	  991 	-9	-0.9
