PLZ4	KTKZ	GDENR	GDENAMK
1000	VD	5586	Lausanne
1009	VD	5590	Pully
1020	VD	5591	Renens (VD)
1022	VD	5627	Chavannes-près-Renens
1023	VD	5583	Crissier
1024	VD	5635	Ecublens (VD)
1025	VD	5648	Saint-Sulpice (VD)
1027	VD	5638	Lonay
1028	VD	5643	Préverenges
1029	VD	5651	Villars-Sainte-Croix
1030	VD	5624	Bussigny-près-Lausanne
1031	VD	5489	Mex (VD)
1034	VD	5473	Boussens
1035	VD	5472	Bournens
1036	VD	5501	Sullens
1037	VD	5521	Etagnières
1038	VD	5512	Bercher
1043	VD	5536	Montilliez
1044	VD	5522	Fey
1045	VD	5680	Ogens
1046	VD	5534	Rueyres
1047	VD	5923	Oppens
1052	VD	5587	Le Mont-sur-Lausanne
1054	VD	5527	Morrens (VD)
1055	VD	5523	Froideville
1058	VD	5804	Jorat-Menthue
1059	VD	5804	Jorat-Menthue
1061	VD	5804	Jorat-Menthue
1062	VD	5804	Jorat-Menthue
1066	VD	5584	Epalinges
1068	VD	5590	Pully
1070	VD	5607	Puidoux
1072	VD	5604	Forel (Lavaux)
1073	VD	5611	Savigny
1076	VD	5789	Ferlens (VD)
1077	VD	5799	Servion
1078	VD	5788	Essertes
1080	VD	5799	Servion
1081	VD	5792	Montpreveyres
1082	VD	5785	Corcelles-le-Jorat
1083	VD	5791	Mézières (VD)
1084	VD	5782	Carrouge (VD)
1085	VD	5803	Vulliens
1088	VD	5798	Ropraz
1090	VD	5606	Lutry
1091	VD	5613	Bourg-en-Lavaux
1092	VD	5581	Belmont-sur-Lausanne
1093	VD	5606	Lutry
1094	VD	5588	Paudex
1095	VD	5606	Lutry
1097	VD	5613	Bourg-en-Lavaux
1098	VD	5613	Bourg-en-Lavaux
1110	VD	5642	Morges
1112	VD	5634	Echichens
1113	VD	5634	Echichens
1114	VD	5634	Echichens
1115	VD	5654	Vullierens
1116	VD	5478	Cottens (VD)
1121	VD	5622	Bremblens
1122	VD	5645	Romanel-sur-Morges
1123	VD	5621	Aclens
1124	VD	5484	Gollion
1125	VD	5634	Echichens
1126	VD	5650	Vaux-sur-Morges
1127	VD	5629	Clarmont
1128	VD	5644	Reverolle
1131	VD	5649	Tolochenaz
1132	VD	5639	Lully (VD)
1135	VD	5631	Denens
1136	VD	5625	Bussy-Chardonney
1141	VD	5500	Sévery
1142	VD	5494	Pampigny
1143	VD	5421	Apples
1144	VD	5423	Ballens
1145	VD	5425	Bière
1146	VD	5431	Mollens (VD)
1147	VD	5492	Montricher
1149	VD	5424	Berolle
1162	VD	5646	Saint-Prex
1163	VD	5636	Etoy
1164	VD	5623	Buchillon
1165	VD	5851	Allaman
1166	VD	5860	Perroy
1167	VD	5640	Lussy-sur-Morges
1168	VD	5652	Villars-sous-Yens
1169	VD	5655	Yens
1170	VD	5422	Aubonne
1172	VD	5426	Bougy-Villars
1173	VD	5427	Féchy
1175	VD	5637	Lavigny
1176	VD	5435	Saint-Livres
1182	VD	5857	Gilly
1183	VD	5853	Bursins
1185	VD	5859	Mont-sur-Rolle
1186	VD	5856	Essertines-sur-Rolle
1187	VD	5436	Saint-Oyens
1189	VD	5437	Saubraz
1196	VD	5721	Gland
1197	VD	5725	Prangins
1200	GE	6621	Genève
1214	GE	6643	Vernier
1217	GE	6630	Meyrin
1218	GE	6623	Le Grand-Saconnex
1219	GE	6643	Vernier
1220	GE	6643	Vernier
1226	GE	6640	Thônex
1228	GE	6633	Plan-les-Ouates
1231	GE	6612	Chêne-Bougeries
1232	GE	6618	Confignon
1233	GE	6607	Bernex
1237	GE	6603	Avully
1243	GE	6635	Presinge
1244	GE	6614	Choulex
1245	GE	6616	Collonge-Bellerive
1246	GE	6619	Corsier (GE)
1247	GE	6602	Anières
1248	GE	6625	Hermance
1252	GE	6629	Meinier
1254	GE	6626	Jussy
1255	GE	6645	Veyrier
1256	GE	6641	Troinex
1257	GE	6605	Bardonnex
1258	GE	6632	Perly-Certoux
1260	VD	5724	Nyon
1262	VD	5716	Eysins
1263	VD	5714	Crassier
1264	VD	5727	Saint-Cergue
1265	VD	5727	Saint-Cergue
1266	VD	5715	Duillier
1269	VD	5703	Bassins
1270	VD	5730	Trélex
1271	VD	5720	Givrins
1272	VD	5718	Genolier
1273	VD	5702	Arzier
1275	VD	5709	Chéserex
1276	VD	5719	Gingins
1278	VD	5726	La Rippe
1281	GE	6637	Russin
1283	GE	6620	Dardagny
1284	GE	6611	Chancy
1286	GE	6639	Soral
1287	GE	6627	Laconnex
1288	GE	6601	Aire-la-Ville
1291	VD	5711	Commugny
1292	GE	6634	Pregny-Chambésy
1293	GE	6606	Bellevue
1294	GE	6622	Genthod
1296	VD	5712	Coppet
1297	VD	5717	Founex
1298	GE	6610	Céligny
1299	VD	5713	Crans-près-Céligny
1302	VD	5503	Vufflens-la-Ville
1303	VD	5496	Penthaz
1305	VD	5495	Penthalaz
1306	VD	5480	Daillens
1307	VD	5487	Lussery-Villars
1308	VD	5474	La Chaux (Cossonay)
1312	VD	5482	Eclépens
1313	VD	5483	Ferreyres
1315	VD	5498	La Sarraz
1316	VD	5476	Chevilly
1317	VD	5493	Orny
1318	VD	5497	Pompaples
1321	VD	5743	Arnex-sur-Orbe
1322	VD	5752	Croy
1323	VD	5761	Romainmôtier-Envy
1324	VD	5759	Premier
1325	VD	5765	Vaulion
1326	VD	5754	Juriens
1329	VD	5748	Bretonnières
1337	VD	5764	Vallorbe
1338	VD	5744	Ballaigues
1341	VD	5872	Le Chenit
1342	VD	5871	L'Abbaye
1343	VD	5873	Le Lieu
1344	VD	5871	L'Abbaye
1345	VD	5873	Le Lieu
1346	VD	5871	L'Abbaye
1347	VD	5872	Le Chenit
1348	VD	5872	Le Chenit
1350	VD	5757	Orbe
1352	VD	5742	Agiez
1353	VD	5747	Bofflens
1354	VD	5756	Montcherand
1356	VD	5750	Les Clées
1357	VD	5755	Lignerolle
1358	VD	5763	Valeyres-sous-Rances
1372	VD	5746	Bavois
1373	VD	5749	Chavornay
1374	VD	5751	Corcelles-sur-Chavornay
1375	VD	5531	Penthéréaz
1376	VD	5519	Goumoëns
1377	VD	5529	Oulens-sous-Echallens
1405	VD	5926	Pomy
1406	VD	5910	Cronay
1408	VD	5913	Donneloye
1409	VD	5906	Chanéaz
1413	VD	5925	Orzens
1416	VD	5530	Pailly
1417	VD	5520	Essertines-sur-Yverdon
1418	VD	5539	Vuarrens
1420	VD	5556	Fiez
1422	VD	5561	Grandson
1423	VD	5558	Tévenon
1425	VD	5565	Onnens (VD)
1427	VD	5551	Bonvillars
1429	VD	5559	Giez
1430	VD	5924	Orges
1433	VD	5929	Suchy
1434	VD	5914	Ependes (VD)
1435	VD	5915	Essert-Pittet
1437	VD	5930	Suscévaz
1438	VD	5919	Mathod
1439	VD	5760	Rances
1441	VD	5933	Valeyres-sous-Montagny
1442	VD	5922	Montagny-près-Yverdon
1443	VD	5905	Champvent
1445	VD	5766	Vuiteboeuf
1446	VD	5745	Baulmes
1450	VD	5568	Sainte-Croix
1452	VD	5552	Bullet
1454	VD	5568	Sainte-Croix
1462	VD	5939	Yvonand
1463	VD	5928	Rovray
1468	FR	2010	Cheyres
1474	FR	2005	Châbles
1475	FR	2052	Vernay
1482	FR	2011	Cugy (FR)
1484	FR	2050	Les Montets
1485	FR	2035	Nuvilly
1486	FR	2049	Vuissens
1489	FR	2034	Murist
1509	VD	5692	Vucherens
1512	VD	5665	Chavannes-sur-Moudon
1514	VD	5663	Bussy-sur-Moudon
1521	VD	5669	Curtilles
1522	VD	5675	Lucens
1523	VD	5831	Valbroye
1524	VD	5831	Valbroye
1527	FR	2047	Villeneuve (FR)
1528	FR	2044	Surpierre
1529	FR	2009	Cheiry
1530	VD	5822	Payerne
1532	FR	2016	Fétigny
