Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Aadorf;8355;0;Aadorf;TG;710450;261277
Aarau;5004;0;Aarau;AG;646950;250197
Aarau;5000;0;Aarau;AG;646063;248867
Aarau Rohr;5032;0;Aarau;AG;648491;250615
Aarberg;3270;0;Aarberg;BE;588188;210368
Aarburg;4663;0;Aarburg;AG;635148;241461
Aarwangen;4912;0;Aarwangen;BE;624878;231805
Aathal-Seegräben;8607;0;Seegräben;ZH;700407;244432
Abländschen;1657;0;Saanen;BE;587086;156803
Abtwil AG;5646;0;Abtwil;AG;669294;225098
Abtwil SG;9030;0;Gaiserwald;SG;741529;254644
Achseten;3725;0;Frutigen;BE;612197;152973
Aclens;1123;0;Aclens;VD;528737;157918
Acquarossa;6716;0;Acquarossa;TI;715127;146179
Adelboden;3715;0;Adelboden;BE;609182;146525
Adetswil;8345;0;Bäretswil;ZH;705645;244426
Adligenswil;6043;0;Adligenswil;LU;670613;213825
Adlikon b. Andelfingen;8452;0;Adlikon;ZH;695274;270341
Adlikon b. Regensdorf;8106;2;Regensdorf;ZH;677044;256220
Adliswil;8134;0;Adliswil;ZH;681911;240235
Aedermannsdorf;4714;0;Aedermannsdorf;SO;611699;240280
Aefligen;3426;0;Aefligen;BE;608357;216039
Aegerten;2558;0;Aegerten;BE;588206;218528
Aesch (Neftenbach);8412;0;Neftenbach;ZH;693367;266654
Aesch BL;4147;0;Aesch (BL);BL;610870;257635
Aesch LU;6287;0;Aesch (LU);LU;661061;234554
Aesch ZH;8904;0;Aesch (ZH);ZH;675340;243214
Aeschau;3536;0;Eggiwil;BE;626308;195071
Aeschi SO;4556;0;Aeschi (SO);SO;616932;225116
Aeschi b. Spiez;3703;0;Aeschi bei Spiez;BE;619850;166680
Aeschiried;3703;41;Aeschi bei Spiez;BE;624719;162493
Aeschlen b. Oberdiessbach;3672;2;Oberdiessbach;BE;616369;186846
Aeschlen ob Gunten;3656;1;Sigriswil;BE;619915;174540
Aetigkofen;4583;2;Aetigkofen;SO;601867;219062
Aetingen;4587;0;Aetingen;SO;604731;219828
Aettenschwil;5645;0;Sins;AG;670841;226348
Aeugst am Albis;8914;0;Aeugst am Albis;ZH;679498;235761
Aeugstertal;8914;2;Aeugst am Albis;ZH;679815;237410
Affeltrangen;9556;0;Affeltrangen;TG;719891;265159
Affoltern am Albis;8910;0;Affoltern am Albis;ZH;676851;236930
Affoltern im Emmental;3416;0;Affoltern im Emmental;BE;621725;213032
Agarn;3951;0;Agarn;VS;617386;124932
Agarone;6597;0;Cugnasco-Gerra;TI;713420;115328
Agasul;8308;2;Illnau-Effretikon;ZH;698380;253100
Agiez;1352;0;Agiez;VD;528897;174299
Agno;6982;0;Agno;TI;713454;95731
Agra;6927;0;Collina d'Oro;TI;714153;91734
Agriswil;3216;2;Ried bei Kerzers;FR;581977;200440
Aigle;1860;0;Aigle;VD;563822;129270
Aire-la-Ville;1288;0;Aire-la-Ville;GE;492440;116436
Airolo;6780;0;Airolo;TI;688533;154786
Alberswil;6248;0;Alberswil;LU;642074;222018
Albeuve;1669;0;Haut-Intyamon;FR;568376;150688
Albinen;3955;0;Albinen;VS;615803;133631
Albligen;3183;0;Schwarzenburg;BE;591147;188631
Alchenflüh;3422;2;Rüdtligen-Alchenflüh;BE;610571;214714
